Año,Tasa bruta de mortalidad,Población al 30 de junio,Mujeres de 15 a 49 años al 30 de junio,Hombres de 15 a 49 años,REPRODUCTIVO,NO REPRODUCTIVO,tasa de transición,c,Tasa bruta de mortalidad,mu,,Población censada,Mujeres (TOTALES),Hombres (Totales),Razón hombre-mujer,,
"1992,0","5,4",13.737.062,3.681.883,3.472.015,7.153.898,6.583.164,"0,0173","0,0116","5,3934","5,6213",,18.480.432,,,"94,3",,
"1993,0","5,5",13.956.766,3.740.549,3.527.337,7.267.886,6.688.880,"0,0164",,"5,4641",,,,9.513.399,8.967.033,,No reproductivo 2024,reproductivo 2024
"1994,0","5,3",14.171.821,3.797.129,3.580.692,7.377.821,6.794.000,"0,0157",,"5,3236",,,Grupos de edad,Población censada,Hombres,Mujeres,9.246.267,9.234.165
"1995,0","5,5",14.381.249,3.852.189,3.632.614,7.484.803,6.896.446,"0,0154",,"5,4607",,,Total País,18.480.432,8.967.033,9.513.399,,
"1996,0","5,4",14.584.947,3.906.774,3.684.087,7.590.861,6.994.086,"0,0150",,"5,4250",,,0 a 4,870.693,443.028,427.665,,
"1997,0","5,3",14.782.706,3.960.637,3.734.880,7.695.517,7.087.189,"0,0143",,"5,3084",,,5 a 9,1.147.515,584.218,563.297,,
"1998,0","5,4",14.974.898,4.012.790,3.784.060,7.796.850,7.178.048,"0,0137",,"5,3594",,,10 a 14,1.256.440,641.284,615.156,,
"1999,0","5,4",15.162.353,4.063.298,3.831.690,7.894.988,7.267.365,"0,0124",,"5,4071",,,15 a 19,1.219.347,625.986,593.361,,
"2000,0","5,1",15.343.326,4.109.512,3.875.269,7.984.781,7.358.545,"0,0106",,"5,1367",,,20 a 24,1.273.193,646.831,626.362,,
"2001,0","5,3",15.520.049,4.149.776,3.913.238,8.063.014,7.457.035,"0,0105",,"5,2753",,,25 a 29,1.383.669,693.829,689.840,,
"2002,0","5,2",15.691.701,4.189.939,3.951.112,8.141.051,7.550.650,"0,0110",,"5,1670",,,30 a 34,1.527.489,758.913,768.576,,
"2003,0","5,3",15.856.977,4.232.708,3.991.443,8.224.151,7.632.826,"0,0126",,"5,2767",,,35 a 39,1.408.198,692.292,715.906,,
"2004,0","5,4",16.022.133,4.282.187,4.038.102,8.320.289,7.701.844,"0,0125",,"5,3762",,,40 a 44,1.270.493,615.866,654.627,,
"2005,0","5,3",16.183.489,4.331.575,4.084.675,8.416.250,7.767.239,"0,0127",,"5,3204",,,45 a 49,1.151.776,549.508,602.268,,
"2006,0","5,2",16.347.890,4.382.429,4.132.630,8.515.059,7.832.831,"0,0113",,"5,2385",,,50 a 54,1.173.352,556.491,616.861,,
"2007,0","5,6",16.517.933,4.428.165,4.175.759,8.603.924,7.914.009,"0,0102",,"5,6302",,,55 a 59,1.133.239,530.699,602.540,,
"2008,0","5,4",16.697.754,4.469.643,4.214.873,8.684.516,8.013.238,"0,0090",,"5,4000",,,60 a 64,1.077.790,501.042,576.748,,
"2009,0","5,4",16.881.078,4.506.645,4.249.766,8.756.411,8.124.667,"0,0077",,"5,4478",,,65 a 69,870.801,403.425,467.376,,
"2010,0","5,7",17.063.927,4.538.990,4.280.267,8.819.257,8.244.670,"0,0074",,"5,7390",,,70 a 74,646.241,292.622,353.619,,
"2011,0","5,5",17.254.159,4.570.263,4.309.758,8.880.021,8.374.138,"0,0065",,"5,5050",,,75 a 79,477.186,208.574,268.612,,
"2012,0","5,7",17.443.491,4.598.188,4.336.091,8.934.279,8.509.212,"0,0041",,"5,6589",,,80 a 84,317.424,129.155,188.269,,
"2013,0","5,7",17.611.902,4.616.108,4.352.989,8.969.097,8.642.805,"0,0039",,"5,6649",,,85 o más,275.586,93.270,182.316,,
"2014,0","5,7",17.787.617,4.633.341,4.369.240,9.002.581,8.785.036,"0,0034",,"5,7321",,,,,,,,
"2015,0","5,7",17.971.423,4.648.855,4.383.870,9.032.725,8.938.698,"0,0043",,"5,7495",,,,,,,,
"2016,0","5,7",18.167.147,4.668.739,4.402.620,9.071.359,9.095.788,"0,0090",,"5,7261",,,,,,,,
"2017,0","5,8",18.419.192,4.710.725,4.442.213,9.152.938,9.266.254,"0,0148",,"5,7759",,,,,,,,
"2018,0","5,7",18.751.405,4.781.104,4.508.581,9.289.685,9.461.720,"0,0174",,"5,6954",,,,,,,,
"2019,0","5,7",19.107.216,4.865.974,4.588.613,9.454.587,9.652.629,"0,0168",,"5,7391",,,,,,,,
"2020,0","6,5",19.458.310,4.949.344,4.667.231,9.616.575,9.841.735,"0,0062",,"6,4841",,,,,,,,
"2021,0","7,0",19.678.363,4.980.605,4.696.710,9.677.315,10.001.048,"0,0011",,"6,9939",,,,,,,,
"2022,0","6,9",19.828.563,4.986.012,4.701.809,9.687.821,10.140.742,"0,0001",,"6,9078",,,,,,,,
"2023,0","6,1",19.960.889,4.986.632,4.702.393,9.689.025,10.271.864,"0,048",,"6,1000",,,,,,,,
