Año,Tasa bruta de mortalidad,Población al 30 de junio,Mujeres de 15 a 49 años al 30 de junio,Hombres de 15 a 49 años,REPRODUCTIVO,NO REPRODUCTIVO,tasa de transición,c,Tasa bruta de mortalidad,mu,viejos,Población censada,Mujeres (TOTALES),Hombres (Totales),Razón hombre-mujer,,,Poblacion total reproductivos y no reproductivos
"1992,0","5,4",13.737.062,3.681.883,3.472.015,7.153.898,2.434.145,"0,0468","0,0292","5,3934","5,6213",4.438.884,18.480.432,,,"94,3",,,9.588.043
"1993,0","5,5",13.956.766,3.740.549,3.527.337,7.267.886,2.473.075,"0,0445",,"5,4641",,4.509.878,,9.513.399,8.967.033,,No reproductivo 2024,reproductivo 2024,9.740.961
"1994,0","5,3",14.171.821,3.797.129,3.580.692,7.377.821,2.511.182,"0,0426",,"5,3236",,4.579.369,Grupos de edad,Población censada,Hombres,Mujeres,9.246.267,9.234.165,9.889.003
"1995,0","5,5",14.381.249,3.852.189,3.632.614,7.484.803,2.548.292,"0,0416",,"5,4607",,4.647.042,Total País,18.480.432,8.967.033,9.513.399,0 a 14,50 a más,10.033.095
"1996,0","5,4",14.584.947,3.906.774,3.684.087,7.590.861,2.584.386,"0,0405",,"5,4250",,4.712.863,0 a 4,870.693,443.028,427.665,3.274.648,5.971.619,10.175.247
"1997,0","5,3",14.782.706,3.960.637,3.734.880,7.695.517,2.619.428,"0,0387",,"5,3084",,4.776.765,5 a 9,1.147.515,584.218,563.297,fraccion 0 a 14,fraccion 50 a más,10.314.945
"1998,0","5,4",14.974.898,4.012.790,3.784.060,7.796.850,2.653.483,"0,0370",,"5,3594",,4.838.869,10 a 14,1.256.440,641.284,615.156,"0,1771954249","0,3231320025",10.450.333
"1999,0","5,4",15.162.353,4.063.298,3.831.690,7.894.988,2.686.700,"0,0334",,"5,4071",,4.899.441,15 a 19,1.219.347,625.986,593.361,,,10.581.688
"2000,0","5,1",15.343.326,4.109.512,3.875.269,7.984.781,2.718.767,"0,0288",,"5,1367",,4.957.920,20 a 24,1.273.193,646.831,626.362,,,10.703.548
"2001,0","5,3",15.520.049,4.149.776,3.913.238,8.063.014,2.750.082,"0,0284",,"5,2753",,5.015.025,25 a 29,1.383.669,693.829,689.840,,,10.813.096
"2002,0","5,2",15.691.701,4.189.939,3.951.112,8.141.051,2.780.498,"0,0299",,"5,1670",,5.070.491,30 a 34,1.527.489,758.913,768.576,,,10.921.549
"2003,0","5,3",15.856.977,4.232.708,3.991.443,8.224.151,2.809.784,"0,0342",,"5,2767",,5.123.897,35 a 39,1.408.198,692.292,715.906,,,11.033.935
"2004,0","5,4",16.022.133,4.282.187,4.038.102,8.320.289,2.839.049,"0,0338",,"5,3762",,5.177.264,40 a 44,1.270.493,615.866,654.627,,,11.159.338
"2005,0","5,3",16.183.489,4.331.575,4.084.675,8.416.250,2.867.640,"0,0345",,"5,3204",,5.229.403,45 a 49,1.151.776,549.508,602.268,,,11.283.890
"2006,0","5,2",16.347.890,4.382.429,4.132.630,8.515.059,2.896.771,"0,0307",,"5,2385",,5.282.526,50 a 54,1.173.352,556.491,616.861,,,11.411.830
"2007,0","5,6",16.517.933,4.428.165,4.175.759,8.603.924,2.926.902,"0,0275",,"5,6302",,5.337.473,55 a 59,1.133.239,530.699,602.540,,,11.530.826
"2008,0","5,4",16.697.754,4.469.643,4.214.873,8.684.516,2.958.766,"0,0243",,"5,4000",,5.395.579,60 a 64,1.077.790,501.042,576.748,,,11.643.282
"2009,0","5,4",16.881.078,4.506.645,4.249.766,8.756.411,2.991.250,"0,0210",,"5,4478",,5.454.817,65 a 69,870.801,403.425,467.376,,,11.747.661
"2010,0","5,7",17.063.927,4.538.990,4.280.267,8.819.257,3.023.650,"0,0201",,"5,7390",,5.513.901,70 a 74,646.241,292.622,353.619,,,11.842.907
"2011,0","5,5",17.254.159,4.570.263,4.309.758,8.880.021,3.057.358,"0,0177",,"5,5050",,5.575.371,75 a 79,477.186,208.574,268.612,,,11.937.379
"2012,0","5,7",17.443.491,4.598.188,4.336.091,8.934.279,3.090.907,"0,0113",,"5,6589",,5.636.550,80 a 84,317.424,129.155,188.269,,,12.025.186
"2013,0","5,7",17.611.902,4.616.108,4.352.989,8.969.097,3.120.748,"0,0107",,"5,6649",,5.690.969,85 o más,275.586,93.270,182.316,,,12.089.845
"2014,0","5,7",17.787.617,4.633.341,4.369.240,9.002.581,3.151.884,"0,0096",,"5,7321",,5.747.748,,,,,,,12.154.465
"2015,0","5,7",17.971.423,4.648.855,4.383.870,9.032.725,3.184.454,"0,0121",,"5,7495",,5.807.142,,,,,,,12.217.179
"2016,0","5,7",18.167.147,4.668.739,4.402.620,9.071.359,3.219.135,"0,0253",,"5,7261",,5.870.387,,,,,,,12.290.494
"2017,0","5,8",18.419.192,4.710.725,4.442.213,9.152.938,3.263.797,"0,0419",,"5,7759",,5.951.830,,,,,,,12.416.735
"2018,0","5,7",18.751.405,4.781.104,4.508.581,9.289.685,3.322.663,"0,0496",,"5,6954",,6.059.179,,,,,,,12.612.348
"2019,0","5,7",19.107.216,4.865.974,4.588.613,9.454.587,3.385.711,"0,0478",,"5,7391",,6.174.153,,,,,,,12.840.298
"2020,0","6,5",19.458.310,4.949.344,4.667.231,9.616.575,3.447.924,"0,0176",,"6,4841",,6.287.603,,,,,,,13.064.499
"2021,0","7,0",19.678.363,4.980.605,4.696.710,9.677.315,3.486.916,"0,0030",,"6,9939",,6.358.709,,,,,,,13.164.231
"2022,0","6,9",19.828.563,4.986.012,4.701.809,9.687.821,3.513.531,"0,0003",,"6,9078",,6.407.243,,,,,,,13.201.352
"2023,0","6,1",19.960.889,4.986.632,4.702.393,9.689.025,3.536.978,"0,048",,"6,1000",,6.450.002,,,,,,,13.226.003
